year,state_name,affiliation,ratio
2018,Tas,All Affiliations,12.2
2018,NT,Government,12.1
2018,NT,Non-Government,10.5
2018,NT,Catholic,10.2
2018,NT,Independent,10.7
2018,NT,All Affiliations,11.5
2018,ACT,Government,12.3
2018,ACT,Non-Government,11.9
2018,ACT,Catholic,12.8
2018,ACT,Independent,10.7
2018,ACT,All Affiliations,12.1
2018,Aust,Government,12.3
2018,Aust,Non-Government,11.3
2018,Aust,Catholic,12.3
2018,Aust,Independent,10.3
2018,Aust,All Affiliations,11.9
2017,NSW,Government,12.4
2017,NSW,Non-Government,11.4
2017,NSW,Catholic,12.6
2017,NSW,Independent,10.0
2017,NSW,All Affiliations,11.9
2017,Vic,Government,12.3
2017,Vic,Non-Government,11.0
2017,Vic,Catholic,12.4
2017,Vic,Independent,9.7
2017,Vic,All Affiliations,11.7
2017,Qld,Government,12.4
2017,Qld,Non-Government,12.1
2017,Qld,Catholic,12.4
2017,Qld,Independent,11.8
2017,Qld,All Affiliations,12.3
2017,SA,Government,12.9
2017,SA,Non-Government,11.2
2017,SA,Catholic,12.0
2017,SA,Independent,10.5
2017,SA,All Affiliations,12.2
2017,WA,Government,12.4
2017,WA,Non-Government,11.8
2017,WA,Catholic,12.7
2017,WA,Independent,11.1
2017,WA,All Affiliations,12.1
2017,Tas,Government,13.1
2017,Tas,Non-Government,11.2
2017,Tas,Catholic,12.8
2017,Tas,Independent,9.4
2017,Tas,All Affiliations,12.3
2017,NT,Government,12.4
2017,NT,Non-Government,10.5
2017,NT,Catholic,10.7
2017,NT,Independent,10.4
2017,NT,All Affiliations,11.6
2017,ACT,Government,11.9
2017,ACT,Non-Government,12.0
2017,ACT,Catholic,13.3
2017,ACT,Independent,10.3
2017,ACT,All Affiliations,11.9
2017,Aust,Government,12.4
2017,Aust,Non-Government,11.4
2017,Aust,Catholic,12.5
2017,Aust,Independent,10.4
2017,Aust,All Affiliations,12.0
2016,NSW,Government,12.5
2016,NSW,Non-Government,11.5
2016,NSW,Catholic,12.7
2016,NSW,Independent,10.1
2016,NSW,All Affiliations,12.1
2016,Vic,Government,12.5
2016,Vic,Non-Government,11.0
2016,Vic,Catholic,12.5
2016,Vic,Independent,9.5
2016,Vic,All Affiliations,11.8
2016,Qld,Government,12.5
2016,Qld,Non-Government,12.2
2016,Qld,Catholic,12.4
2016,Qld,Independent,11.9
2016,Qld,All Affiliations,12.4
2016,SA,Government,13.3
2016,SA,Non-Government,11.3
2016,SA,Catholic,12.2
2016,SA,Independent,10.6
2016,SA,All Affiliations,12.5
2016,WA,Government,12.6
2016,WA,Non-Government,11.9
2016,WA,Catholic,12.9
2016,WA,Independent,11.0
2016,WA,All Affiliations,12.3
2016,Tas,Government,13.2
2016,Tas,Non-Government,11.4
2016,Tas,Catholic,12.9
2016,Tas,Independent,9.6
2016,Tas,All Affiliations,12.5
2016,NT,Government,11.9
2016,NT,Non-Government,10.3
2016,NT,Catholic,10.7
2016,NT,Independent,10.0
2016,NT,All Affiliations,11.2
2016,ACT,Government,11.8
2016,ACT,Non-Government,12.1
2016,ACT,Catholic,13.1
2016,ACT,Independent,10.6
2016,ACT,All Affiliations,11.9
2016,Aust,Government,12.6
2016,Aust,Non-Government,11.5
2016,Aust,Catholic,12.6
2016,Aust,Independent,10.4
2016,Aust,All Affiliations,12.1
2015,NSW,Government,12.5
2015,NSW,Non-Government,11.7
2015,NSW,Catholic,13.0
2015,NSW,Independent,10.2
2015,NSW,All Affiliations,12.1
2015,Vic,Government,12.6
2015,Vic,Non-Government,11.1
2015,Vic,Catholic,12.6
2015,Vic,Independent,9.6
2015,Vic,All Affiliations,11.9
2015,Qld,Government,12.7
2015,Qld,Non-Government,12.4
2015,Qld,Catholic,12.8
2015,Qld,Independent,12.1
2015,Qld,All Affiliations,12.6
2015,SA,Government,13.2
2015,SA,Non-Government,11.5
2015,SA,Catholic,12.3
2015,SA,Independent,10.7
2015,SA,All Affiliations,12.5
2015,WA,Government,13.4
2015,WA,Non-Government,12.1
2015,WA,Catholic,13.0
2015,WA,Independent,11.2
2015,WA,All Affiliations,12.8
2015,Tas,Government,13.4
2015,Tas,Non-Government,11.4
2015,Tas,Catholic,13.1
2015,Tas,Independent,9.5
2015,Tas,All Affiliations,12.6
2015,NT,Government,11.9
2015,NT,Non-Government,10.5
2015,NT,Catholic,10.7
2015,NT,Independent,10.4
2015,NT,All Affiliations,11.4
2015,ACT,Government,11.6
2015,ACT,Non-Government,12.1
2015,ACT,Catholic,13.2
2015,ACT,Independent,10.6
2015,ACT,All Affiliations,11.8
2015,Aust,Government,12.7
2015,Aust,Non-Government,11.7
2015,Aust,Catholic,12.8
2015,Aust,Independent,10.5
2015,Aust,All Affiliations,12.3
2014,NSW,Government,12.4
2014,NSW,Non-Government,11.8
2014,NSW,Catholic,13.1
2014,NSW,Independent,10.3
2014,NSW,All Affiliations,12.2
2014,Vic,Government,12.5
2014,Vic,Non-Government,11.1
2014,Vic,Catholic,12.7
2014,Vic,Independent,9.6
2014,Vic,All Affiliations,11.9
2014,Qld,Government,12.5
2014,Qld,Non-Government,12.2
2014,Qld,Catholic,12.6
2014,Qld,Independent,11.7
2014,Qld,All Affiliations,12.4
2014,SA,Government,13.1
2014,SA,Non-Government,11.7
2014,SA,Catholic,12.7
2014,SA,Independent,10.9
2014,SA,All Affiliations,12.5
2014,WA,Government,12.6
2014,WA,Non-Government,10.7
2014,WA,Catholic,11.9
2014,WA,Independent,9.8
2014,WA,All Affiliations,11.7
2014,Tas,Government,13.1
2014,Tas,Non-Government,11.5
2014,Tas,Catholic,13.1
2014,Tas,Independent,9.7
2014,Tas,All Affiliations,12.5
2014,NT,Government,11.5
2014,NT,Non-Government,10.5
2014,NT,Catholic,11.2
2014,NT,Independent,10.1
2014,NT,All Affiliations,11.1
2014,ACT,Government,12.1
2014,ACT,Non-Government,12.2
2014,ACT,Catholic,13.1
2014,ACT,Independent,11.0
2014,ACT,All Affiliations,12.1
2014,Aust,Government,12.5
2014,Aust,Non-Government,11.5
2014,Aust,Catholic,12.8
2014,Aust,Independent,10.3
2014,Aust,All Affiliations,12.1
2013,NSW,Government,12.3
2013,NSW,Non-Government,11.8
2013,NSW,Catholic,13.0
2013,NSW,Independent,10.3
2013,NSW,All Affiliations,12.1
2013,Vic,Government,12.2
2013,Vic,Non-Government,11.1
2013,Vic,Catholic,12.7
2013,Vic,Independent,9.6
2013,Vic,All Affiliations,11.7
2013,Qld,Government,12.6
2013,Qld,Non-Government,12.2
2013,Qld,Catholic,12.8
2013,Qld,Independent,11.7
2013,Qld,All Affiliations,12.4
2013,SA,Government,13.2
2013,SA,Non-Government,11.6
2013,SA,Catholic,12.3
2013,SA,Independent,10.9
2013,SA,All Affiliations,12.5
2013,WA,Government,12.0
2013,WA,Non-Government,10.7
2013,WA,Catholic,11.8
2013,WA,Independent,9.9
2013,WA,All Affiliations,11.5
2013,Tas,Government,13.2
2013,Tas,Non-Government,11.5
2013,Tas,Catholic,13.0
2013,Tas,Independent,9.9
2013,Tas,All Affiliations,12.6
2013,NT,Government,11.0
2013,NT,Non-Government,10.9
2013,NT,Catholic,10.2
2013,NT,Independent,11.3
2013,NT,All Affiliations,11.0
2013,ACT,Government,11.9
2013,ACT,Non-Government,12.6
2013,ACT,Catholic,13.6
2013,ACT,Independent,11.0
2013,ACT,All Affiliations,12.2
2013,Aust,Government,12.4
2013,Aust,Non-Government,11.5
2013,Aust,Catholic,12.7
2013,Aust,Independent,10.4
2013,Aust,All Affiliations,12.0
2012,NSW,Government,12.4
2012,NSW,Non-Government,11.8
2012,NSW,Catholic,13.0
2012,NSW,Independent,10.3
2012,NSW,All Affiliations,12.2
2012,Vic,Government,11.9
2012,Vic,Non-Government,11.1
2012,Vic,Catholic,12.6
2012,Vic,Independent,9.6
2012,Vic,All Affiliations,11.5
2012,Qld,Government,12.5
2012,Qld,Non-Government,12.2
2012,Qld,Catholic,12.8
2012,Qld,Independent,11.6
2012,Qld,All Affiliations,12.4
2012,SA,Government,13.2
2012,SA,Non-Government,11.7
2012,SA,Catholic,12.4
2012,SA,Independent,11.0
2012,SA,All Affiliations,12.6
2012,WA,Government,11.7
2012,WA,Non-Government,10.8
2012,WA,Catholic,11.9
2012,WA,Independent,9.9
2012,WA,All Affiliations,11.3
2012,Tas,Government,13.1
2012,Tas,Non-Government,11.6
2012,Tas,Catholic,13.1
2012,Tas,Independent,9.9
2012,Tas,All Affiliations,12.6
2012,NT,Government,10.3
2012,NT,Non-Government,10.3
2012,NT,Catholic,9.2
2012,NT,Independent,11.0
2012,NT,All Affiliations,10.3
2012,ACT,Government,11.8
2012,ACT,Non-Government,12.5
2012,ACT,Catholic,13.8
2012,ACT,Independent,10.8
2012,ACT,All Affiliations,12.1
2012,Aust,Government,12.3
2012,Aust,Non-Government,11.5
2012,Aust,Catholic,12.7
2012,Aust,Independent,10.3
2012,Aust,All Affiliations,12.0
2011,NSW,Government,12.5
2011,NSW,Non-Government,11.8
2011,NSW,Catholic,13.0
2011,NSW,Independent,10.3
2011,NSW,All Affiliations,12.2
2011,Vic,Government,11.7
2011,Vic,Non-Government,11.1
2011,Vic,Catholic,12.6
2011,Vic,Independent,9.7
2011,Vic,All Affiliations,11.5
2011,Qld,Government,12.5
2011,Qld,Non-Government,12.2
2011,Qld,Catholic,12.8
2011,Qld,Independent,11.7
2011,Qld,All Affiliations,12.4
2011,SA,Government,13.4
2011,SA,Non-Government,11.7
2011,SA,Catholic,12.3
2011,SA,Independent,11.1
2011,SA,All Affiliations,12.7
2011,WA,Government,11.4
2011,WA,Non-Government,10.9
2011,WA,Catholic,12.2
2011,WA,Independent,10.0
2011,WA,All Affiliations,11.2
2011,Tas,Government,13.0
2011,Tas,Non-Government,11.5
2011,Tas,Catholic,13.0
2011,Tas,Independent,9.9
2011,Tas,All Affiliations,12.5
2011,NT,Government,10.5
2011,NT,Non-Government,10.5
2011,NT,Catholic,10.4
2011,NT,Independent,10.5
2011,NT,All Affiliations,10.5
2011,ACT,Government,11.8
2011,ACT,Non-Government,12.7
2011,ACT,Catholic,14.0
2011,ACT,Independent,10.9
2011,ACT,All Affiliations,12.2
2011,Aust,Government,12.2
2011,Aust,Non-Government,11.6
2011,Aust,Catholic,12.8
2011,Aust,Independent,10.4
2011,Aust,All Affiliations,12.0
2010,NSW,Government,12.5
2010,NSW,Non-Government,11.9
2010,NSW,Catholic,13.1
2010,NSW,Independent,10.3
2010,NSW,All Affiliations,12.3
2010,Vic,Government,11.8
2010,Vic,Non-Government,11.3
2010,Vic,Catholic,12.7
2010,Vic,Independent,9.9
2010,Vic,All Affiliations,11.6
2010,Qld,Government,12.6
2010,Qld,Non-Government,12.4
2010,Qld,Catholic,12.9
2010,Qld,Independent,11.9
2010,Qld,All Affiliations,12.5
2010,SA,Government,13.0
2010,SA,Non-Government,11.7
2010,SA,Catholic,12.1
2010,SA,Independent,11.3
2010,SA,All Affiliations,12.5
2010,WA,Government,11.2
2010,WA,Non-Government,11.0
2010,WA,Catholic,12.1
2010,WA,Independent,10.1
2010,WA,All Affiliations,11.1
2010,Tas,Government,13.1
2010,Tas,Non-Government,11.9
2010,Tas,Catholic,13.4
2010,Tas,Independent,10.3
2010,Tas,All Affiliations,12.7
2010,NT,Government,11.0
2010,NT,Non-Government,10.5
2010,NT,Catholic,10.9
2010,NT,Independent,10.3
2010,NT,All Affiliations,10.9
2010,ACT,Government,11.5
2010,ACT,Non-Government,13.2
2010,ACT,Catholic,14.4
2010,ACT,Independent,11.4
2010,ACT,All Affiliations,12.2
2010,Aust,Government,12.3
2010,Aust,Non-Government,11.7
2010,Aust,Catholic,12.8
2010,Aust,Independent,10.5
2010,Aust,All Affiliations,12.0
2009,NSW,Government,12.4
2009,NSW,Non-Government,11.8
2009,NSW,Catholic,13.0
2009,NSW,Independent,10.2
2009,NSW,All Affiliations,12.2
2009,Vic,Government,11.9
2009,Vic,Non-Government,11.2
2009,Vic,Catholic,12.7
2009,Vic,Independent,9.9
2009,Vic,All Affiliations,11.6
2009,Qld,Government,12.7
2009,Qld,Non-Government,12.2
2009,Qld,Catholic,12.7
2009,Qld,Independent,11.8
2009,Qld,All Affiliations,12.5
2009,SA,Government,12.9
2009,SA,Non-Government,11.7
2009,SA,Catholic,12.2
2009,SA,Independent,11.3
2009,SA,All Affiliations,12.4
2009,WA,Government,11.7
2009,WA,Non-Government,11.7
2009,WA,Catholic,12.8
2009,WA,Independent,10.9
2009,WA,All Affiliations,11.7
2009,Tas,Government,12.9
2009,Tas,Non-Government,11.9
2009,Tas,Catholic,13.4
2009,Tas,Independent,10.4
2009,Tas,All Affiliations,12.6
2009,NT,Government,10.6
2009,NT,Non-Government,10.5
2009,NT,Catholic,11.2
2009,NT,Independent,10.0
2009,NT,All Affiliations,10.5
2009,ACT,Government,11.6
2009,ACT,Non-Government,13.0
2009,ACT,Catholic,14.0
2009,ACT,Independent,11.4
2009,ACT,All Affiliations,12.2
2009,Aust,Government,12.3
2009,Aust,Non-Government,11.7
2009,Aust,Catholic,12.8
2009,Aust,Independent,10.6
2009,Aust,All Affiliations,12.0
2008,NSW,Government,12.4
2008,NSW,Non-Government,11.6
2008,NSW,Catholic,12.9
2008,NSW,Independent,10.0
2008,NSW,All Affiliations,12.1
2008,Vic,Government,11.8
2008,Vic,Non-Government,11.2
2008,Vic,Catholic,12.6
2008,Vic,Independent,9.9
2008,Vic,All Affiliations,11.6
2008,Qld,Government,12.8
2008,Qld,Non-Government,12.2
2008,Qld,Catholic,12.8
2008,Qld,Independent,11.6
2008,Qld,All Affiliations,12.6
2008,SA,Government,12.6
2008,SA,Non-Government,11.7
2008,SA,Catholic,12.4
2008,SA,Independent,11.1
2008,SA,All Affiliations,12.2
2008,WA,Government,11.7
2008,WA,Non-Government,11.8
2008,WA,Catholic,12.8
2008,WA,Independent,10.9
2008,WA,All Affiliations,11.7
2008,Tas,Government,13.0
2008,Tas,Non-Government,11.9
2008,Tas,Catholic,13.3
2008,Tas,Independent,10.5
2008,Tas,All Affiliations,12.7
2008,NT,Government,12.9
2008,NT,Non-Government,11.2
2008,NT,Catholic,12.5
2008,NT,Independent,10.5
2008,NT,All Affiliations,12.3
2008,ACT,Government,12.1
2008,ACT,Non-Government,12.9
2008,ACT,Catholic,13.8
2008,ACT,Independent,11.4
2008,ACT,All Affiliations,12.4
2008,Aust,Government,12.3
2008,Aust,Non-Government,11.6
2008,Aust,Catholic,12.8
2008,Aust,Independent,10.5
2008,Aust,All Affiliations,12.0
2007,NSW,Government,12.5
2007,NSW,Non-Government,11.7
2007,NSW,Catholic,12.9
2007,NSW,Independent,10.1
2007,NSW,All Affiliations,12.2
2007,Vic,Government,11.8
2007,Vic,Non-Government,11.3
2007,Vic,Catholic,12.6
2007,Vic,Independent,10.0
2007,Vic,All Affiliations,11.6
2007,Qld,Government,12.9
2007,Qld,Non-Government,12.2
2007,Qld,Catholic,12.9
2007,Qld,Independent,11.6
2007,Qld,All Affiliations,12.7
2007,SA,Government,12.7
2007,SA,Non-Government,11.7
2007,SA,Catholic,12.3
2007,SA,Independent,11.2
2007,SA,All Affiliations,12.3
2007,WA,Government,11.7
2007,WA,Non-Government,12.0
2007,WA,Catholic,12.9
2007,WA,Independent,11.1
2007,WA,All Affiliations,11.8
2007,Tas,Government,13.1
2007,Tas,Non-Government,12.1
2007,Tas,Catholic,13.4
2007,Tas,Independent,10.7
2007,Tas,All Affiliations,12.8
2007,NT,Government,10.9
2007,NT,Non-Government,10.6
2007,NT,Catholic,11.5
2007,NT,Independent,10.0
2007,NT,All Affiliations,10.8
2007,ACT,Government,12.2
2007,ACT,Non-Government,12.8
2007,ACT,Catholic,13.9
2007,ACT,Independent,11.2
2007,ACT,All Affiliations,12.5
2007,Aust,Government,12.3
2007,Aust,Non-Government,11.7
2007,Aust,Catholic,12.8
2007,Aust,Independent,10.5
2007,Aust,All Affiliations,12.1
2006,NSW,Government,12.4
2006,NSW,Non-Government,11.7
2006,NSW,Catholic,13.0
2006,NSW,Independent,10.0
2006,NSW,All Affiliations,12.1
2006,Vic,Government,11.9
2006,Vic,Non-Government,11.5
2006,Vic,Catholic,12.9
2006,Vic,Independent,10.2
2006,Vic,All Affiliations,11.7
2006,Qld,Government,13.0
2006,Qld,Non-Government,12.5
2006,Qld,Catholic,13.0
2006,Qld,Independent,12.0
2006,Qld,All Affiliations,12.8
2006,SA,Government,12.5
2006,SA,Non-Government,11.8
2006,SA,Catholic,12.4
2006,SA,Independent,11.2
2006,SA,All Affiliations,12.2
2006,WA,Government,12.5
2006,WA,Non-Government,12.0
2006,WA,Catholic,12.9
2006,WA,Independent,11.2
2006,WA,All Affiliations,12.3
2006,Tas,Government,13.2
2006,Tas,Non-Government,12.2
2006,Tas,Catholic,13.7
2006,Tas,Independent,10.7
2006,Tas,All Affiliations,12.8
2006,NT,Government,11.2
2006,NT,Non-Government,10.5
2006,NT,Catholic,11.2
2006,NT,Independent,10.0
2006,NT,All Affiliations,11.0
2006,ACT,Government,11.9
2006,ACT,Non-Government,12.8
2006,ACT,Catholic,13.7
2006,ACT,Independent,11.4
2006,ACT,All Affiliations,12.3
2006,Aust,Government,12.4
2006,Aust,Non-Government,11.8
2006,Aust,Catholic,12.9
2006,Aust,Independent,10.7
2006,Aust,All Affiliations,12.2

