Calendar year,Year level,Domain,State/territory,Student attribute,Subgroup,Reporting flag,Enrolled students,Participation (%),Participation (Num),Average NAPLAN score,Average NAPLAN score confidence interval,NAPLAN score standard deviation,Exempt (%),Needs additional support (%),Developing (%),Strong (%),Exceeding (%),Exceeding (CI),Strong or above (%),Strong or above (CI),Developing or above (%),Developing or above (CI)
2025,3,Reading,Victoria,Indigeneity,Non-Indigenous,,"80,336",95.9,"77,047",418.5,1.9,83.7,2.5,6.6,18.8,49.3,22.8,0.8,72.1,0.9,90.9,0.5
2025,3,Reading,Victoria,ABS remoteness,Major cities,,"65,128",96.2,"62,632",421.3,2.4,83.8,2.6,6.2,18.1,49.2,23.9,0.9,73.0,1.0,91.2,0.6
2025,3,Reading,Victoria,ABS remoteness,Inner regional,,"15,116",94.4,"14,271",403.0,3.2,84.3,2.2,9.3,22.3,48.6,17.6,1.3,66.2,1.6,88.5,1.0
2025,3,Reading,Victoria,ABS remoteness,Outer regional,,"2,975",94.4,"2,809",394.6,6.2,82.9,3.0,10.1,24.9,47.0,14.9,1.9,62.0,3.3,86.9,2.2
2025,3,Reading,Victoria,ABS remoteness,Remote,n.p.,,,,,,,,,,,,,,,,
2025,3,Reading,Victoria,ABS remoteness,Very remote,-,,,,,,,,,,,,,,,,
2025,3,Reading,Victoria,Language background,Non-LBOTE,,"49,312",95.1,"46,918",416.3,1.8,83.9,2.1,7.1,19.1,49.6,22.1,0.7,71.6,0.9,90.8,0.5
2025,3,Reading,Victoria,Language background,LBOTE,,"33,436",96.7,"32,325",418.6,3.1,84.6,3.2,6.6,19.0,48.2,23.0,1.3,71.2,1.3,90.2,0.8
2025,3,Reading,Victoria,Parental education,Parental education: bachelor,,"46,193",97.3,"44,923",440.2,1.9,78.9,1.7,3.5,13.7,50.1,31.0,0.9,81.2,0.8,94.8,0.4
2025,3,Reading,Victoria,Parental education,Parental education: diploma,,"11,992",95.1,"11,407",398.2,2.0,78.7,2.6,8.5,24.0,51.0,13.9,0.8,64.9,1.1,88.9,0.8
2025,3,Reading,Victoria,Parental education,Parental education: certificate,,"15,480",93.9,"14,542",384.6,1.9,80.4,3.2,11.6,26.8,47.8,10.5,0.6,58.3,1.2,85.2,0.8
2025,3,Reading,Victoria,Parental education,Parental education: Year 12,,"3,702",94.6,"3,503",382.1,3.7,82.0,5.0,12.6,26.3,46.1,10.0,1.3,56.1,2.3,82.4,1.6
2025,3,Reading,Victoria,Parental education,Parental education: Year 11,,"3,601",90.4,"3,255",352.2,3.8,81.1,7.8,19.9,31.5,36.3,4.5,0.9,40.8,2.0,72.3,1.9
2025,3,Reading,Victoria,Parental education,Parental education: not stated,,"2,283",92.5,"2,112",414.7,7.1,86.1,2.9,7.4,20.2,48.0,21.6,2.9,69.6,3.6,89.7,2.2
2025,3,Reading,Victoria,Parental occupation,Senior managers and professionals,,"28,221",97.6,"27,535",447.0,1.8,77.6,1.2,2.8,12.1,49.6,34.2,1.0,83.9,0.8,96.0,0.4
2025,3,Reading,Victoria,Parental occupation,Other managers and associate professionals,,"18,904",96.4,"18,217",423.4,1.9,80.0,1.6,5.4,17.3,52.0,23.7,0.9,75.7,0.9,93.0,0.5
2025,3,Reading,Victoria,Parental occupation,"Skilled trades, clerical and sales",,"15,290",95.6,"14,611",399.3,2.0,79.9,2.2,8.6,23.9,50.9,14.5,0.8,65.4,1.1,89.2,0.7
2025,3,Reading,Victoria,Parental occupation,"Unskilled manual, office & sales",,"11,081",94.5,"10,470",382.9,2.5,80.8,4.3,11.7,27.4,46.2,10.4,0.8,56.6,1.5,84.0,1.0
2025,3,Reading,Victoria,Parental occupation,Not in paid work for 12 months,,"6,871",90.6,"6,227",368.2,3.3,85.9,8.5,16.4,27.9,38.8,8.4,0.8,47.2,1.7,75.1,1.6
2025,3,Reading,Victoria,Parental occupation,Parental occupation not stated/unknown,,"2,884",93.0,"2,682",410.2,7.5,85.7,3.1,8.0,21.3,47.5,20.0,2.7,67.6,3.6,88.9,2.0
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Indigenous major cities,,850,88.9,756,373.7,7.4,86.9,5.9,15.3,28.6,41.1,9.2,2.1,50.2,3.9,78.8,3.5
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Indigenous inner regional,,665,89.6,596,361.2,9.3,88.6,6.6,20.5,28.2,36.5,8.2,2.5,44.7,5.0,72.8,4.1
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Indigenous outer regional,,246,87.4,215,351.6,18.9,90.2,4.9,24.1,27.5,36.5,7.0,3.4,43.5,9.1,71.0,8.4
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Indigenous remote,n.p.,,,,,,,,,,,,,,,,
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Indigenous very remote,-,,,,,,,,,,,,,,,,
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Non-Indigenous major cities,,"63,481",96.2,"61,096",422.3,2.3,83.4,2.6,6.0,17.9,49.3,24.1,0.9,73.5,1.0,91.4,0.6
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Non-Indigenous inner regional,,"14,209",94.6,"13,439",405.4,3.1,83.5,2.0,8.7,21.9,49.2,18.2,1.3,67.4,1.5,89.3,1.0
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Non-Indigenous outer regional,,"2,621",95.0,"2,489",398.3,5.4,81.2,2.9,8.9,24.8,47.8,15.7,2.0,63.5,3.1,88.3,1.9
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Non-Indigenous remote,n.p.,,,,,,,,,,,,,,,,
2025,3,Reading,Victoria,Indigeneity by ABS remoteness,Non-Indigenous very remote,-,,,,,,,,,,,,,,,,
2025,3,Reading,Queensland,All,All,,"67,914",93.1,"63,217",389.2,2.9,90.3,1.3,13.9,24.2,45.2,15.4,0.8,60.6,1.3,84.8,0.9
2025,3,Reading,Queensland,Gender,Male,,"35,028",92.0,"32,209",381.9,3.1,91.3,1.7,15.8,25.5,43.1,13.8,0.9,56.9,1.4,82.5,1.0
2025,3,Reading,Queensland,Gender,Female,,"32,884",94.3,"31,007",396.9,2.9,88.6,0.8,12.0,22.7,47.5,17.1,1.0,64.5,1.3,87.3,0.8
2025,3,Reading,Queensland,Indigeneity,Indigenous,,"6,615",86.6,"5,728",323.1,4.2,88.7,1.5,35.5,31.6,27.6,3.8,0.6,31.4,1.9,63.0,2.1
2025,3,Reading,Queensland,Indigeneity,Non-Indigenous,,"60,270",94.0,"56,629",396.7,2.7,87.4,1.2,11.5,23.4,47.2,16.7,0.9,63.9,1.2,87.3,0.8
2025,3,Reading,Queensland,ABS remoteness,Major cities,,"44,592",94.0,"41,914",400.9,3.6,87.9,1.4,10.8,22.2,47.5,18.2,1.1,65.6,1.6,87.8,1.0
2025,3,Reading,Queensland,ABS remoteness,Inner regional,,"12,682",91.8,"11,638",373.9,4.3,87.8,1.2,17.1,27.9,42.9,10.9,1.0,53.7,2.1,81.7,1.6
2025,3,Reading,Queensland,ABS remoteness,Outer regional,,"8,985",91.7,"8,239",366.2,6.0,90.7,1.1,20.1,28.1,40.7,10.0,1.4,50.7,2.9,78.8,2.2
2025,3,Reading,Queensland,ABS remoteness,Remote,,877,88.0,772,330.1,16.3,93.3,0.6,34.3,29.0,31.4,4.7,2.3,36.1,6.7,65.1,7.7
2025,3,Reading,Queensland,ABS remoteness,Very remote,,764,83.9,641,301.4,18.8,99.5,0.9,48.4,25.4,21.1,4.2,2.3,25.3,6.5,50.7,8.6
2025,3,Reading,Queensland,Language background,Non-LBOTE,,"54,848",92.8,"50,883",387.7,2.7,89.4,1.1,14.1,24.8,45.3,14.7,0.8,60.1,1.3,84.8,0.8
2025,3,Reading,Queensland,Language background,LBOTE,,"12,120",95.0,"11,513",397.4,5.8,93.5,2.0,12.9,21.6,44.9,18.5,1.9,63.4,2.4,85.1,1.7
2025,3,Reading,Queensland,Parental education,Parental education: bachelor,,"28,756",96.0,"27,603",426.4,2.3,80.1,0.8,5.1,16.8,51.9,25.3,1.1,77.2,0.9,94.1,0.4
2025,3,Reading,Queensland,Parental education,Parental education: diploma,,"9,821",92.9,"9,128",378.3,2.5,82.6,1.0,13.9,28.9,46.1,10.0,0.8,56.1,1.4,85.0,1.1
2025,3,Reading,Queensland,Parental education,Parental education: certificate,,"18,109",91.9,"16,638",358.9,2.3,84.5,1.2,20.7,30.8,40.5,6.9,0.5,47.3,1.2,78.1,1.1
2025,3,Reading,Queensland,Parental education,Parental education: Year 12,,"3,675",91.0,"3,346",348.9,3.8,87.1,1.7,24.6,31.7,35.8,6.2,1.0,41.9,2.2,73.6,2.0
2025,3,Reading,Queensland,Parental education,Parental education: Year 11,,"2,982",86.3,"2,574",315.9,4.6,85.4,2.7,37.6,32.2,24.9,2.6,0.8,27.5,2.1,59.7,2.7
2025,3,Reading,Queensland,Parental education,Parental education: not stated,,"4,571",85.9,"3,928",377.2,10.6,98.3,3.6,18.9,22.9,40.6,14.0,2.5,54.6,4.8,77.5,3.8
2025,3,Reading,Queensland,Parental occupation,Senior managers and professionals,,"19,167",95.8,"18,361",424.5,2.7,82.0,0.5,5.9,17.2,51.0,25.3,1.2,76.3,1.1,93.5,0.5
2025,3,Reading,Queensland,Parental occupation,Other managers and associate professionals,,"13,056",94.6,"12,357",405.3,2.6,82.8,0.7,8.7,21.9,50.8,17.9,1.2,68.7,1.3,90.6,0.7
2025,3,Reading,Queensland,Parental occupation,"Skilled trades, clerical and sales",,"15,192",93.2,"14,158",375.1,2.5,84.4,0.9,15.6,28.7,44.7,10.1,0.8,54.8,1.3,83.5,1.0
2025,3,Reading,Queensland,Parental occupation,"Unskilled manual, office & sales",,"7,133",91.7,"6,539",353.6,3.3,86.7,1.9,22.7,31.2,37.6,6.6,1.0,44.2,1.7,75.4,1.5
2025,3,Reading,Queensland,Parental occupation,Not in paid work for 12 months,,"3,454",86.5,"2,986",332.4,4.5,90.2,2.8,32.0,30.5,29.7,5.0,1.0,34.7,2.2,65.2,2.3
2025,3,Reading,Queensland,Parental occupation,Parental occupation not stated/unknown,,"9,912",88.9,"8,816",365.6,6.3,95.5,2.8,21.4,26.5,38.2,11.1,1.5,49.3,2.9,75.8,2.2
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Indigenous major cities,,"2,449",88.1,"2,157",341.8,5.4,87.5,1.7,27.3,31.7,34.0,5.3,1.0,39.3,2.8,71.0,2.6
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Indigenous inner regional,,"1,662",87.6,"1,456",332.5,5.8,84.5,1.6,30.0,34.8,29.5,4.0,1.0,33.6,3.2,68.4,3.4
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Indigenous outer regional,,"1,752",86.8,"1,520",312.4,7.5,85.6,1.4,40.3,31.6,24.1,2.6,1.1,26.7,3.2,58.3,4.3
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Indigenous remote,,319,80.9,258,280.9,19.6,86.5,0.6,57.5,25.0,15.0,1.9,1.7,16.9,7.2,41.9,10.1
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Indigenous very remote,,433,77.8,337,256.5,14.7,77.0,1.4,67.2,23.5,7.2,0.7,0.9,7.9,3.6,31.4,7.7
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Non-Indigenous major cities,,"41,479",94.4,"39,174",404.5,3.5,86.6,1.3,9.8,21.6,48.3,19.0,1.2,67.2,1.6,88.9,0.9
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Non-Indigenous inner regional,,"10,851",92.6,"10,046",380.3,4.1,86.5,1.1,15.1,26.9,45.0,11.9,1.1,56.9,2.0,83.8,1.5
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Non-Indigenous outer regional,,"7,085",93.4,"6,614",380.1,5.1,86.7,1.0,14.9,27.2,45.0,11.9,1.5,56.9,2.6,84.1,1.6
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Non-Indigenous remote,,542,92.3,500,360.5,10.9,84.1,0.6,20.1,31.3,41.6,6.4,3.2,48.0,6.7,79.3,4.7
2025,3,Reading,Queensland,Indigeneity by ABS remoteness,Non-Indigenous very remote,,313,94.2,295,363.1,14.0,91.9,0.0,22.4,28.9,39.8,8.9,4.7,48.8,7.6,77.6,6.5
2025,3,Reading,South Australia,All,All,,"21,037",94.8,"19,947",393.6,3.6,86.7,2.9,11.4,23.8,46.9,15.0,1.2,61.9,1.7,85.7,1.2
2025,3,Reading,South Australia,Gender,Male,,"10,820",94.4,"10,218",384.6,3.9,87.6,3.8,13.3,25.8,44.3,12.9,1.2,57.2,1.9,82.9,1.4
2025,3,Reading,South Australia,Gender,Female,,"10,215",95.2,"9,727",403.0,3.9,84.7,2.0,9.3,21.8,49.6,17.3,1.4,66.9,1.8,88.7,1.2
2025,3,Reading,South Australia,Indigeneity,Indigenous,,"1,196",84.9,"1,015",322.2,9.1,93.2,6.2,32.9,30.6,26.1,4.2,1.3,30.3,3.3,60.9,4.3
2025,3,Reading,South Australia,Indigeneity,Non-Indigenous,,"19,597",95.5,"18,706",397.9,3.4,84.3,2.7,10.0,23.4,48.2,15.7,1.2,63.9,1.7,87.3,1.1
2025,3,Reading,South Australia,ABS remoteness,Major cities,,"16,373",95.2,"15,586",399.8,4.2,85.0,3.0,9.7,22.8,48.1,16.4,1.4,64.5,2.0,87.3,1.4
2025,3,Reading,South Australia,ABS remoteness,Inner regional,,"1,782",93.7,"1,669",375.3,7.1,87.2,1.6,16.2,28.7,42.0,11.5,1.9,53.4,3.6,82.2,2.8
2025,3,Reading,South Australia,ABS remoteness,Outer regional,,"2,210",94.8,"2,095",372.2,6.2,84.9,3.8,16.5,27.4,43.4,9.0,1.7,52.3,3.8,79.8,3.1
2025,3,Reading,South Australia,ABS remoteness,Remote,,483,95.0,459,386.9,12.7,88.3,1.0,14.2,25.0,46.5,13.3,4.0,59.8,6.3,84.8,5.1
2025,3,Reading,South Australia,ABS remoteness,Very remote,,185,72.4,134,301.4,47.4,119.1,2.2,43.0,22.7,28.0,4.1,3.9,32.1,12.8,54.8,17.4
2025,3,Reading,South Australia,Language background,Non-LBOTE,,"15,212",94.6,"14,383",392.0,3.4,86.1,2.2,11.7,24.4,47.1,14.6,1.1,61.6,1.7,86.0,1.2
2025,3,Reading,South Australia,Language background,LBOTE,,"5,634",95.6,"5,388",399.1,6.2,87.8,4.5,10.1,22.2,46.7,16.5,2.1,63.2,2.9,85.4,2.1
2025,3,Reading,South Australia,Parental education,Parental education: bachelor,,"10,086",96.3,"9,717",421.1,3.3,79.6,1.8,5.6,17.7,52.5,22.4,1.6,74.9,1.5,92.6,0.9
2025,3,Reading,South Australia,Parental education,Parental education: diploma,,"2,563",95.2,"2,440",384.9,3.6,80.6,2.2,11.3,28.0,47.6,11.0,1.4,58.6,2.3,86.5,1.7
2025,3,Reading,South Australia,Parental education,Parental education: certificate,,"5,144",94.4,"4,854",368.2,3.4,81.9,3.0,16.3,30.1,42.9,7.6,0.9,50.5,2.0,80.6,1.7
2025,3,Reading,South Australia,Parental education,Parental education: Year 12,,"1,061",94.3,"1,001",369.1,6.0,82.7,6.0,15.7,28.9,41.2,8.1,1.9,49.3,3.5,78.3,2.9
2025,3,Reading,South Australia,Parental education,Parental education: Year 11,,"1,273",90.1,"1,147",334.5,6.5,84.8,7.1,26.8,32.6,30.0,3.6,1.3,33.6,3.3,66.1,3.7
2025,3,Reading,South Australia,Parental education,Parental education: not stated,,910,86.6,788,359.0,16.8,102.9,7.0,21.0,26.8,34.5,10.6,3.7,45.1,5.9,71.9,5.3
2025,3,Reading,South Australia,Parental occupation,Senior managers and professionals,,"6,679",96.3,"6,433",423.3,3.6,80.0,1.5,5.2,17.6,52.1,23.6,1.8,75.7,1.6,93.3,0.8
2025,3,Reading,South Australia,Parental occupation,Other managers and associate professionals,,"4,815",95.5,"4,599",400.3,3.4,81.9,1.7,9.1,23.0,50.6,15.6,1.3,66.2,1.8,89.2,1.2
2025,3,Reading,South Australia,Parental occupation,"Skilled trades, clerical and sales",,"3,793",95.5,"3,624",382.7,3.4,80.9,2.3,12.3,27.3,47.5,10.5,1.1,58.0,2.1,85.4,1.5
2025,3,Reading,South Australia,Parental occupation,"Unskilled manual, office & sales",,"2,654",94.3,"2,502",368.4,4.3,83.8,3.5,16.5,29.9,42.0,8.1,1.3,50.1,2.5,80.0,2.0
2025,3,Reading,South Australia,Parental occupation,Not in paid work for 12 months,,"1,122",89.7,"1,006",344.6,7.0,86.8,6.7,24.1,30.5,34.0,4.8,1.5,38.8,3.5,69.3,4.0
2025,3,Reading,South Australia,Parental occupation,Parental occupation not stated/unknown,,"1,974",90.3,"1,783",354.1,9.2,94.6,9.2,21.4,28.5,32.8,8.1,2.3,40.9,3.7,69.4,3.4
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Indigenous major cities,,680,85.6,582,329.1,8.8,90.5,6.3,30.4,31.7,26.4,5.2,1.9,31.6,4.2,63.3,4.7
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Indigenous inner regional,,105,89.5,94,323.7,19.9,86.0,1.9,36.2,30.1,27.8,4.0,5.5,31.8,10.6,61.9,10.3
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Indigenous outer regional,,262,92.0,241,329.7,13.5,80.3,8.8,28.5,31.2,29.2,2.3,2.5,31.5,7.8,62.7,8.3
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Indigenous remote,,53,92.5,49,340.3,33.7,90.0,3.8,27.9,34.0,27.9,6.4,7.3,34.3,18.7,68.3,15.0
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Indigenous very remote,,96,51.0,49,243.4,56.3,113.9,4.2,62.7,19.6,12.5,1.0,3.0,13.5,11.6,33.1,17.3
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Non-Indigenous major cities,,"15,502",95.7,"14,828",402.9,4.0,83.3,2.8,8.7,22.4,49.1,16.9,1.4,66.0,1.9,88.5,1.2
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Non-Indigenous inner regional,,"1,666",93.9,"1,564",378.7,6.7,86.3,1.6,14.9,28.5,43.0,12.0,1.9,54.9,3.6,83.4,2.7
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Non-Indigenous outer regional,,"1,922",95.2,"1,830",377.7,6.2,83.9,3.0,14.8,26.9,45.3,9.9,1.8,55.3,3.8,82.1,2.9
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Non-Indigenous remote,,423,95.5,404,391.9,11.6,86.7,0.7,12.7,23.9,48.6,14.1,4.1,62.7,5.3,86.6,4.7
2025,3,Reading,South Australia,Indigeneity by ABS remoteness,Non-Indigenous very remote,,84,95.2,80,367.6,18.0,87.9,0.0,18.6,27.4,46.2,7.9,8.1,54.0,10.8,81.4,9.3
2025,3,Reading,Western Australia,All,All,,"37,012",95.9,"35,495",388.7,2.9,90.0,1.7,13.9,23.7,45.8,14.9,0.9,60.7,1.3,84.4,0.9
2025,3,Reading,Western Australia,Gender,Male,,"19,103",95.3,"18,203",380.6,3.2,91.4,2.3,15.9,25.5,43.1,13.3,0.9,56.3,1.5,81.8,1.2
2025,3,Reading,Western Australia,Gender,Female,,"17,897",96.6,"17,280",397.3,3.1,87.7,1.1,11.8,21.8,48.8,16.6,1.0,65.4,1.4,87.1,0.9
2025,3,Reading,Western Australia,Indigeneity,Indigenous,,"2,811",84.9,"2,387",303.8,5.7,92.2,2.5,44.6,27.4,22.5,3.0,0.8,25.5,2.2,52.9,2.7
2025,3,Reading,Western Australia,Indigeneity,Non-Indigenous,,"33,718",96.9,"32,659",396.1,2.7,85.9,1.6,11.2,23.3,47.9,15.9,0.9,63.8,1.2,87.2,0.8
2025,3,Reading,Western Australia,ABS remoteness,Major cities,,"29,257",96.7,"28,277",397.1,3.2,87.0,1.9,11.3,22.7,47.7,16.4,1.0,64.2,1.5,86.8,0.9
2025,3,Reading,Western Australia,ABS remoteness,Inner regional,,"2,935",95.8,"2,813",366.9,7.1,87.4,1.2,19.0,29.2,40.9,9.7,1.7,50.6,3.6,79.8,2.8
