,year,state_name,affiliation,sex,arr_all,join_key
233,2024,SA,Government,Female,84.5,SA|2024|Government|Female
238,2024,SA,Government,Persons,80.0,SA|2024|Government|Persons
243,2024,SA,Non-Government,Male,95.3,SA|2024|Non-Government|Male
248,2024,SA,Non-Government,Female,100.0,SA|2024|Non-Government|Female
253,2024,SA,Non-Government,Persons,98.9,SA|2024|Non-Government|Persons
258,2024,SA,Catholic,Male,90.1,SA|2024|Catholic|Male
263,2024,SA,Catholic,Female,96.1,SA|2024|Catholic|Female
268,2024,SA,Catholic,Persons,93.2,SA|2024|Catholic|Persons
273,2024,SA,Independent,Male,99.7,SA|2024|Independent|Male
278,2024,SA,Independent,Female,100.0,SA|2024|Independent|Female
283,2024,SA,Independent,Persons,100.0,SA|2024|Independent|Persons
288,2024,SA,All affiliations,Male,83.2,SA|2024|All affiliations|Male
293,2024,SA,All affiliations,Female,91.7,SA|2024|All affiliations|Female
298,2024,SA,All affiliations,Persons,87.5,SA|2024|All affiliations|Persons
303,2024,WA,Government,Male,74.8,WA|2024|Government|Male
308,2024,WA,Government,Female,79.6,WA|2024|Government|Female
313,2024,WA,Government,Persons,77.1,WA|2024|Government|Persons
318,2024,WA,Non-Government,Male,85.9,WA|2024|Non-Government|Male
323,2024,WA,Non-Government,Female,93.4,WA|2024|Non-Government|Female
328,2024,WA,Non-Government,Persons,89.6,WA|2024|Non-Government|Persons
333,2024,WA,Catholic,Male,77.9,WA|2024|Catholic|Male
338,2024,WA,Catholic,Female,84.2,WA|2024|Catholic|Female
343,2024,WA,Catholic,Persons,81.0,WA|2024|Catholic|Persons
348,2024,WA,Independent,Male,93.9,WA|2024|Independent|Male
353,2024,WA,Independent,Female,100.0,WA|2024|Independent|Female
358,2024,WA,Independent,Persons,98.0,WA|2024|Independent|Persons
363,2024,WA,All affiliations,Male,79.0,WA|2024|All affiliations|Male
368,2024,WA,All affiliations,Female,85.1,WA|2024|All affiliations|Female
373,2024,WA,All affiliations,Persons,82.0,WA|2024|All affiliations|Persons
378,2024,Tas,Government,Male,65.7,Tas|2024|Government|Male
383,2024,Tas,Government,Female,76.3,Tas|2024|Government|Female
388,2024,Tas,Government,Persons,70.8,Tas|2024|Government|Persons
393,2024,Tas,Non-Government,Male,59.7,Tas|2024|Non-Government|Male
398,2024,Tas,Non-Government,Female,70.6,Tas|2024|Non-Government|Female
403,2024,Tas,Non-Government,Persons,65.0,Tas|2024|Non-Government|Persons
408,2024,Tas,Catholic,Male,53.6,Tas|2024|Catholic|Male
413,2024,Tas,Catholic,Female,64.0,Tas|2024|Catholic|Female
418,2024,Tas,Catholic,Persons,58.8,Tas|2024|Catholic|Persons
423,2024,Tas,Independent,Male,68.6,Tas|2024|Independent|Male
428,2024,Tas,Independent,Female,81.5,Tas|2024|Independent|Female
433,2024,Tas,Independent,Persons,74.6,Tas|2024|Independent|Persons
438,2024,Tas,All affiliations,Male,63.5,Tas|2024|All affiliations|Male
443,2024,Tas,All affiliations,Female,74.2,Tas|2024|All affiliations|Female
448,2024,Tas,All affiliations,Persons,68.7,Tas|2024|All affiliations|Persons
453,2024,NT,Government,Male,48.4,NT|2024|Government|Male
458,2024,NT,Government,Female,63.0,NT|2024|Government|Female
463,2024,NT,Government,Persons,55.6,NT|2024|Government|Persons
468,2024,NT,Non-Government,Male,51.3,NT|2024|Non-Government|Male
473,2024,NT,Non-Government,Female,57.1,NT|2024|Non-Government|Female
478,2024,NT,Non-Government,Persons,54.2,NT|2024|Non-Government|Persons
483,2024,NT,Catholic,Male,49.0,NT|2024|Catholic|Male
488,2024,NT,Catholic,Female,50.6,NT|2024|Catholic|Female
493,2024,NT,Catholic,Persons,49.8,NT|2024|Catholic|Persons
498,2024,NT,Independent,Male,53.3,NT|2024|Independent|Male
503,2024,NT,Independent,Female,62.7,NT|2024|Independent|Female
508,2024,NT,Independent,Persons,58.1,NT|2024|Independent|Persons
513,2024,NT,All affiliations,Male,49.4,NT|2024|All affiliations|Male
518,2024,NT,All affiliations,Female,60.9,NT|2024|All affiliations|Female
523,2024,NT,All affiliations,Persons,55.1,NT|2024|All affiliations|Persons
528,2024,ACT,Government,Male,91.7,ACT|2024|Government|Male
533,2024,ACT,Government,Female,100.0,ACT|2024|Government|Female
538,2024,ACT,Government,Persons,99.1,ACT|2024|Government|Persons
543,2024,ACT,Non-Government,Male,77.3,ACT|2024|Non-Government|Male
548,2024,ACT,Non-Government,Female,72.9,ACT|2024|Non-Government|Female
553,2024,ACT,Non-Government,Persons,75.1,ACT|2024|Non-Government|Persons
558,2024,ACT,Catholic,Male,73.3,ACT|2024|Catholic|Male
563,2024,ACT,Catholic,Female,65.3,ACT|2024|Catholic|Female
568,2024,ACT,Catholic,Persons,69.5,ACT|2024|Catholic|Persons
573,2024,ACT,Independent,Male,86.0,ACT|2024|Independent|Male
578,2024,ACT,Independent,Female,84.9,ACT|2024|Independent|Female
583,2024,ACT,Independent,Persons,85.4,ACT|2024|Independent|Persons
588,2024,ACT,All affiliations,Male,85.2,ACT|2024|All affiliations|Male
593,2024,ACT,All affiliations,Female,90.7,ACT|2024|All affiliations|Female
598,2024,ACT,All affiliations,Persons,87.8,ACT|2024|All affiliations|Persons
603,2023,NSW,Government,Male,65.1,NSW|2023|Government|Male
608,2023,NSW,Government,Female,71.6,NSW|2023|Government|Female
613,2023,NSW,Government,Persons,68.3,NSW|2023|Government|Persons
618,2023,NSW,Non-Government,Male,77.8,NSW|2023|Non-Government|Male
623,2023,NSW,Non-Government,Female,86.7,NSW|2023|Non-Government|Female
628,2023,NSW,Non-Government,Persons,82.2,NSW|2023|Non-Government|Persons
633,2023,NSW,Catholic,Male,73.2,NSW|2023|Catholic|Male
638,2023,NSW,Catholic,Female,83.0,NSW|2023|Catholic|Female
643,2023,NSW,Catholic,Persons,78.1,NSW|2023|Catholic|Persons
648,2023,NSW,Independent,Male,84.3,NSW|2023|Independent|Male
653,2023,NSW,Independent,Female,92.1,NSW|2023|Independent|Female
658,2023,NSW,Independent,Persons,88.1,NSW|2023|Independent|Persons
663,2023,NSW,All affiliations,Male,70.4,NSW|2023|All affiliations|Male
668,2023,NSW,All affiliations,Female,78.0,NSW|2023|All affiliations|Female
673,2023,NSW,All affiliations,Persons,74.2,NSW|2023|All affiliations|Persons
678,2023,Vic,Government,Male,73.4,Vic|2023|Government|Male
683,2023,Vic,Government,Female,82.9,Vic|2023|Government|Female
688,2023,Vic,Government,Persons,78.0,Vic|2023|Government|Persons
693,2023,Vic,Non-Government,Male,84.7,Vic|2023|Non-Government|Male
698,2023,Vic,Non-Government,Female,92.7,Vic|2023|Non-Government|Female
703,2023,Vic,Non-Government,Persons,88.7,Vic|2023|Non-Government|Persons
708,2023,Vic,Catholic,Male,77.1,Vic|2023|Catholic|Male
713,2023,Vic,Catholic,Female,86.5,Vic|2023|Catholic|Female
718,2023,Vic,Catholic,Persons,81.8,Vic|2023|Catholic|Persons
723,2023,Vic,Independent,Male,93.8,Vic|2023|Independent|Male
728,2023,Vic,Independent,Female,100.0,Vic|2023|Independent|Female
733,2023,Vic,Independent,Persons,97.0,Vic|2023|Independent|Persons
738,2023,Vic,All affiliations,Male,78.2,Vic|2023|All affiliations|Male
743,2023,Vic,All affiliations,Female,87.3,Vic|2023|All affiliations|Female
748,2023,Vic,All affiliations,Persons,82.6,Vic|2023|All affiliations|Persons
753,2023,Qld,Government,Male,68.7,Qld|2023|Government|Male
758,2023,Qld,Government,Female,77.7,Qld|2023|Government|Female
763,2023,Qld,Government,Persons,73.0,Qld|2023|Government|Persons
768,2023,Qld,Non-Government,Male,92.5,Qld|2023|Non-Government|Male
773,2023,Qld,Non-Government,Female,96.2,Qld|2023|Non-Government|Female
778,2023,Qld,Non-Government,Persons,94.3,Qld|2023|Non-Government|Persons
783,2023,Qld,Catholic,Male,84.5,Qld|2023|Catholic|Male
788,2023,Qld,Catholic,Female,89.2,Qld|2023|Catholic|Female
793,2023,Qld,Catholic,Persons,86.8,Qld|2023|Catholic|Persons
798,2023,Qld,Independent,Male,100.0,Qld|2023|Independent|Male
803,2023,Qld,Independent,Female,100.0,Qld|2023|Independent|Female
808,2023,Qld,Independent,Persons,100.0,Qld|2023|Independent|Persons
813,2023,Qld,All affiliations,Male,77.3,Qld|2023|All affiliations|Male
818,2023,Qld,All affiliations,Female,84.7,Qld|2023|All affiliations|Female
823,2023,Qld,All affiliations,Persons,80.9,Qld|2023|All affiliations|Persons
828,2023,SA,Government,Male,73.4,SA|2023|Government|Male
833,2023,SA,Government,Female,83.9,SA|2023|Government|Female
838,2023,SA,Government,Persons,78.4,SA|2023|Government|Persons
843,2023,SA,Non-Government,Male,94.3,SA|2023|Non-Government|Male
848,2023,SA,Non-Government,Female,100.0,SA|2023|Non-Government|Female
853,2023,SA,Non-Government,Persons,98.6,SA|2023|Non-Government|Persons
858,2023,SA,Catholic,Male,94.1,SA|2023|Catholic|Male
863,2023,SA,Catholic,Female,98.0,SA|2023|Catholic|Female
868,2023,SA,Catholic,Persons,96.1,SA|2023|Catholic|Persons
873,2023,SA,Independent,Male,94.5,SA|2023|Independent|Male
878,2023,SA,Independent,Female,100.0,SA|2023|Independent|Female
883,2023,SA,Independent,Persons,100.0,SA|2023|Independent|Persons
888,2023,SA,All affiliations,Male,81.4,SA|2023|All affiliations|Male
893,2023,SA,All affiliations,Female,91.5,SA|2023|All affiliations|Female
898,2023,SA,All affiliations,Persons,86.3,SA|2023|All affiliations|Persons
903,2023,WA,Government,Male,71.4,WA|2023|Government|Male
908,2023,WA,Government,Female,79.2,WA|2023|Government|Female
913,2023,WA,Government,Persons,75.2,WA|2023|Government|Persons
918,2023,WA,Non-Government,Male,85.0,WA|2023|Non-Government|Male
923,2023,WA,Non-Government,Female,89.5,WA|2023|Non-Government|Female
928,2023,WA,Non-Government,Persons,87.2,WA|2023|Non-Government|Persons
933,2023,WA,Catholic,Male,78.0,WA|2023|Catholic|Male
938,2023,WA,Catholic,Female,81.4,WA|2023|Catholic|Female
943,2023,WA,Catholic,Persons,79.7,WA|2023|Catholic|Persons
948,2023,WA,Independent,Male,91.8,WA|2023|Independent|Male
953,2023,WA,Independent,Female,97.7,WA|2023|Independent|Female
958,2023,WA,Independent,Persons,94.7,WA|2023|Independent|Persons
963,2023,WA,All affiliations,Male,76.7,WA|2023|All affiliations|Male
968,2023,WA,All affiliations,Female,83.3,WA|2023|All affiliations|Female
973,2023,WA,All affiliations,Persons,80.0,WA|2023|All affiliations|Persons
978,2023,Tas,Government,Male,65.1,Tas|2023|Government|Male
983,2023,Tas,Government,Female,77.6,Tas|2023|Government|Female
988,2023,Tas,Government,Persons,71.044921875,Tas|2023|Government|Persons
993,2023,Tas,Non-Government,Male,62.1,Tas|2023|Non-Government|Male
998,2023,Tas,Non-Government,Female,67.2,Tas|2023|Non-Government|Female
1003,2023,Tas,Non-Government,Persons,64.7,Tas|2023|Non-Government|Persons
1008,2023,Tas,Catholic,Male,51.6,Tas|2023|Catholic|Male
1013,2023,Tas,Catholic,Female,60.7,Tas|2023|Catholic|Female
1018,2023,Tas,Catholic,Persons,56.3,Tas|2023|Catholic|Persons
1023,2023,Tas,Independent,Male,76.4,Tas|2023|Independent|Male
1028,2023,Tas,Independent,Female,77.3,Tas|2023|Independent|Female
1033,2023,Tas,Independent,Persons,76.8,Tas|2023|Independent|Persons
1038,2023,Tas,All affiliations,Male,64.0,Tas|2023|All affiliations|Male
1043,2023,Tas,All affiliations,Female,73.7,Tas|2023|All affiliations|Female
1048,2023,Tas,All affiliations,Persons,68.7,Tas|2023|All affiliations|Persons
1053,2023,NT,Government,Male,52.4,NT|2023|Government|Male
1058,2023,NT,Government,Female,58.3,NT|2023|Government|Female
1063,2023,NT,Government,Persons,55.3,NT|2023|Government|Persons
1068,2023,NT,Non-Government,Male,39.9,NT|2023|Non-Government|Male
1073,2023,NT,Non-Government,Female,51.4,NT|2023|Non-Government|Female
1078,2023,NT,Non-Government,Persons,45.5,NT|2023|Non-Government|Persons
1083,2023,NT,Catholic,Male,38.5,NT|2023|Catholic|Male
1088,2023,NT,Catholic,Female,56.0,NT|2023|Catholic|Female
1093,2023,NT,Catholic,Persons,46.5,NT|2023|Catholic|Persons
1098,2023,NT,Independent,Male,41.0,NT|2023|Independent|Male
1103,2023,NT,Independent,Female,48.6,NT|2023|Independent|Female
1108,2023,NT,Independent,Persons,44.9,NT|2023|Independent|Persons
1113,2023,NT,All affiliations,Male,47.8,NT|2023|All affiliations|Male
1118,2023,NT,All affiliations,Female,55.8,NT|2023|All affiliations|Female
1123,2023,NT,All affiliations,Persons,51.7,NT|2023|All affiliations|Persons
1128,2023,ACT,Government,Male,93.0,ACT|2023|Government|Male
1133,2023,ACT,Government,Female,100.0,ACT|2023|Government|Female
1138,2023,ACT,Government,Persons,100.0,ACT|2023|Government|Persons
1143,2023,ACT,Non-Government,Male,78.8,ACT|2023|Non-Government|Male
1148,2023,ACT,Non-Government,Female,72.2,ACT|2023|Non-Government|Female
1153,2023,ACT,Non-Government,Persons,75.5,ACT|2023|Non-Government|Persons
1158,2023,ACT,Catholic,Male,77.4,ACT|2023|Catholic|Male
1163,2023,ACT,Catholic,Female,67.0,ACT|2023|Catholic|Female
1168,2023,ACT,Catholic,Persons,72.4,ACT|2023|Catholic|Persons
1173,2023,ACT,Independent,Male,81.5,ACT|2023|Independent|Male
1178,2023,ACT,Independent,Female,80.4,ACT|2023|Independent|Female
1183,2023,ACT,Independent,Persons,80.9,ACT|2023|Independent|Persons
1188,2023,ACT,All affiliations,Male,86.6,ACT|2023|All affiliations|Male
1193,2023,ACT,All affiliations,Female,91.9,ACT|2023|All affiliations|Female
1198,2023,ACT,All affiliations,Persons,89.2,ACT|2023|All affiliations|Persons
1203,2022,NSW,Government,Male,66.4,NSW|2022|Government|Male
1208,2022,NSW,Government,Female,74.8,NSW|2022|Government|Female
1213,2022,NSW,Government,Persons,70.5,NSW|2022|Government|Persons
1218,2022,NSW,Non-Government,Male,78.2,NSW|2022|Non-Government|Male
1223,2022,NSW,Non-Government,Female,86.3,NSW|2022|Non-Government|Female
1228,2022,NSW,Non-Government,Persons,82.2,NSW|2022|Non-Government|Persons
1233,2022,NSW,Catholic,Male,73.7,NSW|2022|Catholic|Male
1238,2022,NSW,Catholic,Female,83.5,NSW|2022|Catholic|Female
1243,2022,NSW,Catholic,Persons,78.5,NSW|2022|Catholic|Persons
1248,2022,NSW,Independent,Male,85.0,NSW|2022|Independent|Male
1253,2022,NSW,Independent,Female,90.2,NSW|2022|Independent|Female
1258,2022,NSW,Independent,Persons,87.6,NSW|2022|Independent|Persons
1263,2022,NSW,All affiliations,Male,71.4,NSW|2022|All affiliations|Male
1268,2022,NSW,All affiliations,Female,79.7,NSW|2022|All affiliations|Female
1273,2022,NSW,All affiliations,Persons,75.5,NSW|2022|All affiliations|Persons
1278,2022,Vic,Government,Male,75.3,Vic|2022|Government|Male
1283,2022,Vic,Government,Female,87.0,Vic|2022|Government|Female
1288,2022,Vic,Government,Persons,80.9,Vic|2022|Government|Persons
1293,2022,Vic,Non-Government,Male,85.2,Vic|2022|Non-Government|Male
1298,2022,Vic,Non-Government,Female,92.9,Vic|2022|Non-Government|Female
1303,2022,Vic,Non-Government,Persons,89.1,Vic|2022|Non-Government|Persons
1308,2022,Vic,Catholic,Male,78.2,Vic|2022|Catholic|Male
1313,2022,Vic,Catholic,Female,86.7,Vic|2022|Catholic|Female
1318,2022,Vic,Catholic,Persons,82.4,Vic|2022|Catholic|Persons
1323,2022,Vic,Independent,Male,93.7,Vic|2022|Independent|Male
1328,2022,Vic,Independent,Female,100.0,Vic|2022|Independent|Female
1333,2022,Vic,Independent,Persons,97.0,Vic|2022|Independent|Persons
1338,2022,Vic,All affiliations,Male,79.6,Vic|2022|All affiliations|Male
1343,2022,Vic,All affiliations,Female,89.7,Vic|2022|All affiliations|Female
1348,2022,Vic,All affiliations,Persons,84.5,Vic|2022|All affiliations|Persons
1353,2022,Qld,Government,Male,70.2,Qld|2022|Government|Male
1358,2022,Qld,Government,Female,79.8,Qld|2022|Government|Female
1363,2022,Qld,Government,Persons,74.8,Qld|2022|Government|Persons
1368,2022,Qld,Non-Government,Male,93.3,Qld|2022|Non-Government|Male
1373,2022,Qld,Non-Government,Female,95.9,Qld|2022|Non-Government|Female
1378,2022,Qld,Non-Government,Persons,94.6,Qld|2022|Non-Government|Persons
1383,2022,Qld,Catholic,Male,84.8,Qld|2022|Catholic|Male
1388,2022,Qld,Catholic,Female,90.0,Qld|2022|Catholic|Female
1393,2022,Qld,Catholic,Persons,87.4,Qld|2022|Catholic|Persons
1398,2022,Qld,Independent,Male,100.0,Qld|2022|Independent|Male
1403,2022,Qld,Independent,Female,100.0,Qld|2022|Independent|Female
1408,2022,Qld,Independent,Persons,100.0,Qld|2022|Independent|Persons
1413,2022,Qld,All affiliations,Male,78.7,Qld|2022|All affiliations|Male
1418,2022,Qld,All affiliations,Female,86.0,Qld|2022|All affiliations|Female
1423,2022,Qld,All affiliations,Persons,82.2,Qld|2022|All affiliations|Persons
1428,2022,SA,Government,Male,78.9,SA|2022|Government|Male
1433,2022,SA,Government,Female,88.7,SA|2022|Government|Female
1438,2022,SA,Government,Persons,83.7,SA|2022|Government|Persons
1443,2022,SA,Non-Government,Male,90.0,SA|2022|Non-Government|Male
1448,2022,SA,Non-Government,Female,100.0,SA|2022|Non-Government|Female
1453,2022,SA,Non-Government,Persons,95.1,SA|2022|Non-Government|Persons
1458,2022,SA,Catholic,Male,86.2,SA|2022|Catholic|Male
1463,2022,SA,Catholic,Female,91.7,SA|2022|Catholic|Female
1468,2022,SA,Catholic,Persons,89.0,SA|2022|Catholic|Persons
1473,2022,SA,Independent,Male,93.1,SA|2022|Independent|Male
1478,2022,SA,Independent,Female,100.0,SA|2022|Independent|Female
1483,2022,SA,Independent,Persons,100.0,SA|2022|Independent|Persons
1488,2022,SA,All affiliations,Male,83.3,SA|2022|All affiliations|Male
1493,2022,SA,All affiliations,Female,93.4,SA|2022|All affiliations|Female
1498,2022,SA,All affiliations,Persons,88.3,SA|2022|All affiliations|Persons
1503,2022,WA,Government,Male,73.0,WA|2022|Government|Male
1508,2022,WA,Government,Female,80.7,WA|2022|Government|Female
1513,2022,WA,Government,Persons,76.7,WA|2022|Government|Persons
1518,2022,WA,Non-Government,Male,83.5,WA|2022|Non-Government|Male
1523,2022,WA,Non-Government,Female,89.0,WA|2022|Non-Government|Female
1528,2022,WA,Non-Government,Persons,86.2,WA|2022|Non-Government|Persons
1533,2022,WA,Catholic,Male,75.2,WA|2022|Catholic|Male
1538,2022,WA,Catholic,Female,84.0,WA|2022|Catholic|Female
1543,2022,WA,Catholic,Persons,79.5,WA|2022|Catholic|Persons
1548,2022,WA,Independent,Male,92.0,WA|2022|Independent|Male
1553,2022,WA,Independent,Female,93.7,WA|2022|Independent|Female
1558,2022,WA,Independent,Persons,92.8,WA|2022|Independent|Persons
1563,2022,WA,All affiliations,Male,77.2,WA|2022|All affiliations|Male
1568,2022,WA,All affiliations,Female,84.1,WA|2022|All affiliations|Female
1573,2022,WA,All affiliations,Persons,80.5,WA|2022|All affiliations|Persons
1578,2022,Tas,Government,Male,69.2,Tas|2022|Government|Male
1583,2022,Tas,Government,Female,85.9,Tas|2022|Government|Female
1588,2022,Tas,Government,Persons,77.2,Tas|2022|Government|Persons
1593,2022,Tas,Non-Government,Male,61.4,Tas|2022|Non-Government|Male
1598,2022,Tas,Non-Government,Female,67.1,Tas|2022|Non-Government|Female
1603,2022,Tas,Non-Government,Persons,64.2,Tas|2022|Non-Government|Persons
1608,2022,Tas,Catholic,Male,51.0,Tas|2022|Catholic|Male
1613,2022,Tas,Catholic,Female,61.3,Tas|2022|Catholic|Female
1618,2022,Tas,Catholic,Persons,56.1,Tas|2022|Catholic|Persons
1623,2022,Tas,Independent,Male,77.4,Tas|2022|Independent|Male
1628,2022,Tas,Independent,Female,76.1,Tas|2022|Independent|Female
1633,2022,Tas,Independent,Persons,76.8,Tas|2022|Independent|Persons
1638,2022,Tas,All affiliations,Male,66.3,Tas|2022|All affiliations|Male
1643,2022,Tas,All affiliations,Female,78.7,Tas|2022|All affiliations|Female
1648,2022,Tas,All affiliations,Persons,72.3,Tas|2022|All affiliations|Persons
1653,2022,NT,Government,Male,49.6,NT|2022|Government|Male
1658,2022,NT,Government,Female,63.7,NT|2022|Government|Female
1663,2022,NT,Government,Persons,56.2,NT|2022|Government|Persons
1668,2022,NT,Non-Government,Male,51.7,NT|2022|Non-Government|Male
1673,2022,NT,Non-Government,Female,49.9,NT|2022|Non-Government|Female
1678,2022,NT,Non-Government,Persons,50.8,NT|2022|Non-Government|Persons
1683,2022,NT,Catholic,Male,44.4,NT|2022|Catholic|Male
1688,2022,NT,Catholic,Female,44.4,NT|2022|Catholic|Female
1693,2022,NT,Catholic,Persons,44.4,NT|2022|Catholic|Persons
1698,2022,NT,Independent,Male,57.3,NT|2022|Independent|Male
1703,2022,NT,Independent,Female,54.5,NT|2022|Independent|Female
1708,2022,NT,Independent,Persons,55.9,NT|2022|Independent|Persons
1713,2022,NT,All affiliations,Male,50.3,NT|2022|All affiliations|Male
1718,2022,NT,All affiliations,Female,58.4,NT|2022|All affiliations|Female
1723,2022,NT,All affiliations,Persons,54.2,NT|2022|All affiliations|Persons
1728,2022,ACT,Government,Male,95.4,ACT|2022|Government|Male
1733,2022,ACT,Government,Female,100.0,ACT|2022|Government|Female
1738,2022,ACT,Government,Persons,100.0,ACT|2022|Government|Persons
1743,2022,ACT,Non-Government,Male,71.0,ACT|2022|Non-Government|Male
1748,2022,ACT,Non-Government,Female,73.2,ACT|2022|Non-Government|Female
1753,2022,ACT,Non-Government,Persons,72.1,ACT|2022|Non-Government|Persons
1758,2022,ACT,Catholic,Male,65.6,ACT|2022|Catholic|Male
1763,2022,ACT,Catholic,Female,67.8,ACT|2022|Catholic|Female
1768,2022,ACT,Catholic,Persons,66.6,ACT|2022|Catholic|Persons
1773,2022,ACT,Independent,Male,81.9,ACT|2022|Independent|Male
1778,2022,ACT,Independent,Female,81.7,ACT|2022|Independent|Female
1783,2022,ACT,Independent,Persons,81.8,ACT|2022|Independent|Persons
1788,2022,ACT,All affiliations,Male,83.7,ACT|2022|All affiliations|Male
1793,2022,ACT,All affiliations,Female,92.4,ACT|2022|All affiliations|Female
1798,2022,ACT,All affiliations,Persons,87.9,ACT|2022|All affiliations|Persons
1803,2021,NSW,Government,Male,68.6,NSW|2021|Government|Male
1808,2021,NSW,Government,Female,78.8,NSW|2021|Government|Female
1813,2021,NSW,Government,Persons,73.5,NSW|2021|Government|Persons
1818,2021,NSW,Non-Government,Male,77.4,NSW|2021|Non-Government|Male
1823,2021,NSW,Non-Government,Female,86.6,NSW|2021|Non-Government|Female
1828,2021,NSW,Non-Government,Persons,81.9,NSW|2021|Non-Government|Persons
1833,2021,NSW,Catholic,Male,72.9,NSW|2021|Catholic|Male
1838,2021,NSW,Catholic,Female,83.6,NSW|2021|Catholic|Female
1843,2021,NSW,Catholic,Persons,78.1,NSW|2021|Catholic|Persons
1848,2021,NSW,Independent,Male,84.4,NSW|2021|Independent|Male
1853,2021,NSW,Independent,Female,91.2,NSW|2021|Independent|Female
1858,2021,NSW,Independent,Persons,87.8,NSW|2021|Independent|Persons
1863,2021,NSW,All affiliations,Male,72.3,NSW|2021|All affiliations|Male
1868,2021,NSW,All affiliations,Female,82.1,NSW|2021|All affiliations|Female
1873,2021,NSW,All affiliations,Persons,77.1,NSW|2021|All affiliations|Persons
1878,2021,Vic,Government,Male,78.5,Vic|2021|Government|Male
1883,2021,Vic,Government,Female,91.3,Vic|2021|Government|Female
1888,2021,Vic,Government,Persons,84.7,Vic|2021|Government|Persons
1893,2021,Vic,Non-Government,Male,87.6,Vic|2021|Non-Government|Male
1898,2021,Vic,Non-Government,Female,94.4,Vic|2021|Non-Government|Female
1903,2021,Vic,Non-Government,Persons,91.0,Vic|2021|Non-Government|Persons
1908,2021,Vic,Catholic,Male,80.1,Vic|2021|Catholic|Male
1913,2021,Vic,Catholic,Female,88.0,Vic|2021|Catholic|Female
1918,2021,Vic,Catholic,Persons,84.1,Vic|2021|Catholic|Persons
1923,2021,Vic,Independent,Male,97.0,Vic|2021|Independent|Male
1928,2021,Vic,Independent,Female,100.0,Vic|2021|Independent|Female
1933,2021,Vic,Independent,Persons,99.7,Vic|2021|Independent|Persons
