year,state_letter,state_short,affiliation,sex,cohort,arr_indigenous,arr_non_indigenous,arr_all,state_name,state_code
2024,a,NSW,Catholic,Male,Year 7 - Year 9,96.8,97.9,97.9,New South Wales,1
2024,a,NSW,Catholic,Male,Year 7/8 - Year 10,98.1,95.4,95.5,New South Wales,1
2024,a,NSW,Catholic,Male,Year 7/8 - Year 11,73.9,82.7,82.4,New South Wales,1
2024,a,NSW,Catholic,Male,Year 7/8 - Year 12,55.9,75.0,74.4,New South Wales,1
2024,a,NSW,Catholic,Male,Year 10 - Year 12,61.1,78.2,77.7,New South Wales,1
2024,a,NSW,Catholic,Female,Year 7 - Year 9,100.0,96.6,96.9,New South Wales,1
2024,a,NSW,Catholic,Female,Year 7/8 - Year 10,92.3,95.5,95.4,New South Wales,1
2024,a,NSW,Catholic,Female,Year 7/8 - Year 11,80.7,88.2,88.0,New South Wales,1
2024,a,NSW,Catholic,Female,Year 7/8 - Year 12,70.8,84.0,83.5,New South Wales,1
2024,a,NSW,Catholic,Female,Year 10 - Year 12,72.2,86.8,86.3,New South Wales,1
2024,a,NSW,Catholic,Persons,Year 7 - Year 9,100.0,97.3,97.4,New South Wales,1
2024,a,NSW,Catholic,Persons,Year 7/8 - Year 10,95.2,95.4,95.4,New South Wales,1
2024,a,NSW,Catholic,Persons,Year 7/8 - Year 11,77.5,85.4,85.2,New South Wales,1
2024,a,NSW,Catholic,Persons,Year 7/8 - Year 12,63.7,79.5,78.9,New South Wales,1
2024,a,NSW,Catholic,Persons,Year 10 - Year 12,67.1,82.5,82.0,New South Wales,1
2024,a,NSW,Independent,Male,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Independent,Male,Year 7/8 - Year 10,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Independent,Male,Year 7/8 - Year 11,100.0,93.9,94.6,New South Wales,1
2024,a,NSW,Independent,Male,Year 7/8 - Year 12,99.2,84.8,85.0,New South Wales,1
2024,a,NSW,Independent,Male,Year 10 - Year 12,64.5,84.0,83.6,New South Wales,1
2024,a,NSW,Independent,Female,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Independent,Female,Year 7/8 - Year 10,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Independent,Female,Year 7/8 - Year 11,100.0,98.5,99.2,New South Wales,1
2024,a,NSW,Independent,Female,Year 7/8 - Year 12,100.0,92.2,92.6,New South Wales,1
2024,a,NSW,Independent,Female,Year 10 - Year 12,59.1,86.4,85.5,New South Wales,1
2024,a,NSW,Independent,Persons,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Independent,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Independent,Persons,Year 7/8 - Year 11,100.0,96.2,96.9,New South Wales,1
2024,a,NSW,Independent,Persons,Year 7/8 - Year 12,100.0,88.4,88.8,New South Wales,1
2024,a,NSW,Independent,Persons,Year 10 - Year 12,61.2,85.3,84.6,New South Wales,1
2024,a,NSW,All affiliations,Male,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,All affiliations,Male,Year 7/8 - Year 10,100.0,99.3,99.7,New South Wales,1
2024,a,NSW,All affiliations,Male,Year 7/8 - Year 11,63.7,82.9,81.6,New South Wales,1
2024,a,NSW,All affiliations,Male,Year 7/8 - Year 12,44.4,72.9,71.2,New South Wales,1
2024,a,NSW,All affiliations,Male,Year 10 - Year 12,40.6,72.0,70.0,New South Wales,1
2024,a,NSW,All affiliations,Female,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,All affiliations,Female,Year 7/8 - Year 10,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,All affiliations,Female,Year 7/8 - Year 11,70.7,88.8,87.5,New South Wales,1
2024,a,NSW,All affiliations,Female,Year 7/8 - Year 12,51.3,79.7,77.8,New South Wales,1
2024,a,NSW,All affiliations,Female,Year 10 - Year 12,48.7,80.0,77.8,New South Wales,1
2024,a,NSW,All affiliations,Persons,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,All affiliations,Persons,Year 7/8 - Year 10,100.0,99.7,100.0,New South Wales,1
2024,a,NSW,All affiliations,Persons,Year 7/8 - Year 11,67.1,85.8,84.5,New South Wales,1
2024,a,NSW,All affiliations,Persons,Year 7/8 - Year 12,47.9,76.3,74.5,New South Wales,1
2024,a,NSW,All affiliations,Persons,Year 10 - Year 12,44.7,75.9,73.8,New South Wales,1
2024,b,Vic,Government,Male,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Government,Male,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Government,Male,Year 7/8 - Year 11,80.2,93.2,92.9,Victoria,2
2024,b,Vic,Government,Male,Year 7/8 - Year 12,53.7,76.0,75.5,Victoria,2
2024,b,Vic,Government,Male,Year 10 - Year 12,52.7,75.0,74.4,Victoria,2
2024,b,Vic,Government,Female,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Government,Female,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Government,Female,Year 7/8 - Year 11,88.3,97.6,97.4,Victoria,2
2024,b,Vic,Government,Female,Year 7/8 - Year 12,62.7,84.5,83.9,Victoria,2
2024,b,Vic,Government,Female,Year 10 - Year 12,61.5,82.6,82.1,Victoria,2
2024,b,Vic,Government,Persons,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Government,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Government,Persons,Year 7/8 - Year 11,84.2,95.3,95.0,Victoria,2
2024,b,Vic,Government,Persons,Year 7/8 - Year 12,58.1,80.1,79.5,Victoria,2
2024,b,Vic,Government,Persons,Year 10 - Year 12,57.0,78.7,78.1,Victoria,2
2024,b,Vic,Non-Government,Male,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Male,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Male,Year 7/8 - Year 11,100.0,96.2,96.6,Victoria,2
2024,b,Vic,Non-Government,Male,Year 7/8 - Year 12,100.0,87.5,87.7,Victoria,2
2024,b,Vic,Non-Government,Male,Year 10 - Year 12,97.8,88.8,88.8,Victoria,2
2024,b,Vic,Non-Government,Female,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Female,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Female,Year 7/8 - Year 11,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Female,Year 7/8 - Year 12,100.0,93.8,94.0,Victoria,2
2024,b,Vic,Non-Government,Female,Year 10 - Year 12,100.0,94.8,95.0,Victoria,2
2024,b,Vic,Non-Government,Persons,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Non-Government,Persons,Year 7/8 - Year 11,100.0,98.4,98.8,Victoria,2
2024,b,Vic,Non-Government,Persons,Year 7/8 - Year 12,100.0,90.7,90.9,Victoria,2
2024,b,Vic,Non-Government,Persons,Year 10 - Year 12,100.0,91.8,92.0,Victoria,2
2024,b,Vic,Catholic,Male,Year 7 - Year 9,100.0,99.0,99.1,Victoria,2
2024,b,Vic,Catholic,Male,Year 7/8 - Year 10,100.0,95.2,95.4,Victoria,2
2024,b,Vic,Catholic,Male,Year 7/8 - Year 11,100.0,87.3,87.5,Victoria,2
2024,b,Vic,Catholic,Male,Year 7/8 - Year 12,88.0,80.2,80.3,Victoria,2
2024,b,Vic,Catholic,Male,Year 10 - Year 12,83.5,84.1,84.1,Victoria,2
2024,b,Vic,Catholic,Female,Year 7 - Year 9,100.0,98.4,98.4,Victoria,2
2024,b,Vic,Catholic,Female,Year 7/8 - Year 10,100.0,96.1,96.3,Victoria,2
2024,b,Vic,Catholic,Female,Year 7/8 - Year 11,100.0,90.5,90.8,Victoria,2
2024,b,Vic,Catholic,Female,Year 7/8 - Year 12,100.0,86.4,86.6,Victoria,2
2024,b,Vic,Catholic,Female,Year 10 - Year 12,100.0,91.6,91.7,Victoria,2
2024,b,Vic,Catholic,Persons,Year 7 - Year 9,100.0,98.7,98.8,Victoria,2
2024,b,Vic,Catholic,Persons,Year 7/8 - Year 10,100.0,95.6,95.8,Victoria,2
2024,b,Vic,Catholic,Persons,Year 7/8 - Year 11,100.0,88.9,89.2,Victoria,2
2024,b,Vic,Catholic,Persons,Year 7/8 - Year 12,100.0,83.4,83.5,Victoria,2
2024,b,Vic,Catholic,Persons,Year 10 - Year 12,93.4,87.9,87.9,Victoria,2
2024,b,Vic,Independent,Male,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Male,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Male,Year 7/8 - Year 11,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Male,Year 7/8 - Year 12,100.0,96.2,96.5,Victoria,2
2024,b,Vic,Independent,Male,Year 10 - Year 12,100.0,93.8,94.0,Victoria,2
2024,b,Vic,Independent,Female,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Female,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Female,Year 7/8 - Year 11,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Female,Year 7/8 - Year 12,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Female,Year 10 - Year 12,100.0,98.3,98.5,Victoria,2
2024,b,Vic,Independent,Persons,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Persons,Year 7/8 - Year 11,100.0,100.0,100.0,Victoria,2
2024,b,Vic,Independent,Persons,Year 7/8 - Year 12,100.0,99.4,99.7,Victoria,2
2024,b,Vic,Independent,Persons,Year 10 - Year 12,100.0,96.1,96.3,Victoria,2
2024,b,Vic,All affiliations,Male,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,All affiliations,Male,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,All affiliations,Male,Year 7/8 - Year 11,91.5,94.5,94.4,Victoria,2
2024,b,Vic,All affiliations,Male,Year 7/8 - Year 12,63.6,80.9,80.6,Victoria,2
2024,b,Vic,All affiliations,Male,Year 10 - Year 12,61.5,80.7,80.3,Victoria,2
2024,b,Vic,All affiliations,Female,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,All affiliations,Female,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,All affiliations,Female,Year 7/8 - Year 11,100.0,99.0,99.0,Victoria,2
2024,b,Vic,All affiliations,Female,Year 7/8 - Year 12,75.9,88.6,88.4,Victoria,2
2024,b,Vic,All affiliations,Female,Year 10 - Year 12,73.2,88.0,87.7,Victoria,2
2024,b,Vic,All affiliations,Persons,Year 7 - Year 9,100.0,100.0,100.0,Victoria,2
2024,b,Vic,All affiliations,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,Victoria,2
2024,b,Vic,All affiliations,Persons,Year 7/8 - Year 11,96.5,96.7,96.7,Victoria,2
2024,b,Vic,All affiliations,Persons,Year 7/8 - Year 12,69.7,84.7,84.4,Victoria,2
2024,b,Vic,All affiliations,Persons,Year 10 - Year 12,67.3,84.3,84.0,Victoria,2
2024,c,Qld,Government,Male,Year 7 - Year 9,98.2,100.0,99.8,Queensland,3
2024,c,Qld,Government,Male,Year 7/8 - Year 10,85.2,97.6,96.1,Queensland,3
2024,c,Qld,Government,Male,Year 7/8 - Year 11,64.9,82.4,80.4,Queensland,3
2024,c,Qld,Government,Male,Year 7/8 - Year 12,51.5,70.7,68.6,Queensland,3
2024,c,Qld,Government,Male,Year 10 - Year 12,55.7,72.8,71.0,Queensland,3
2024,c,Qld,Government,Female,Year 7 - Year 9,96.8,99.9,99.6,Queensland,3
2024,c,Qld,Government,Female,Year 7/8 - Year 10,92.3,98.8,98.0,Queensland,3
2024,c,Qld,Government,Female,Year 7/8 - Year 11,70.4,88.9,86.8,Queensland,3
2024,c,Qld,Government,Female,Year 7/8 - Year 12,55.1,78.9,76.3,Queensland,3
2024,c,Qld,Government,Female,Year 10 - Year 12,60.2,79.3,77.3,Queensland,3
2024,c,Qld,Government,Persons,Year 7 - Year 9,97.5,99.9,99.7,Queensland,3
2024,c,Qld,Government,Persons,Year 7/8 - Year 10,88.6,98.2,97.0,Queensland,3
2024,c,Qld,Government,Persons,Year 7/8 - Year 11,67.5,85.5,83.5,Queensland,3
2024,c,Qld,Government,Persons,Year 7/8 - Year 12,53.3,74.6,72.3,Queensland,3
2024,c,Qld,Government,Persons,Year 10 - Year 12,57.8,75.9,74.0,Queensland,3
2024,c,Qld,Non-Government,Male,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Male,Year 7/8 - Year 10,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Male,Year 7/8 - Year 11,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Male,Year 7/8 - Year 12,100.0,93.0,93.5,Queensland,3
2024,c,Qld,Non-Government,Male,Year 10 - Year 12,87.1,91.3,91.1,Queensland,3
2024,c,Qld,Non-Government,Female,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Female,Year 7/8 - Year 10,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Female,Year 7/8 - Year 11,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Female,Year 7/8 - Year 12,100.0,96.0,96.4,Queensland,3
2024,c,Qld,Non-Government,Female,Year 10 - Year 12,92.5,94.5,94.4,Queensland,3
2024,c,Qld,Non-Government,Persons,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Persons,Year 7/8 - Year 11,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Non-Government,Persons,Year 7/8 - Year 12,100.0,94.5,94.9,Queensland,3
2024,c,Qld,Non-Government,Persons,Year 10 - Year 12,89.9,92.8,92.7,Queensland,3
2024,c,Qld,Catholic,Male,Year 7 - Year 9,100.0,98.2,98.3,Queensland,3
2024,c,Qld,Catholic,Male,Year 7/8 - Year 10,100.0,96.6,97.6,Queensland,3
2024,c,Qld,Catholic,Male,Year 7/8 - Year 11,93.9,92.6,92.6,Queensland,3
2024,c,Qld,Catholic,Male,Year 7/8 - Year 12,87.5,84.1,84.3,Queensland,3
2024,c,Qld,Catholic,Male,Year 10 - Year 12,83.4,88.8,88.5,Queensland,3
2024,c,Qld,Catholic,Female,Year 7 - Year 9,100.0,97.4,97.8,Queensland,3
2024,c,Qld,Catholic,Female,Year 7/8 - Year 10,100.0,96.2,96.5,Queensland,3
2024,c,Qld,Catholic,Female,Year 7/8 - Year 11,100.0,90.9,91.7,Queensland,3
2024,c,Qld,Catholic,Female,Year 7/8 - Year 12,94.4,87.6,88.0,Queensland,3
2024,c,Qld,Catholic,Female,Year 10 - Year 12,90.9,93.4,93.2,Queensland,3
2024,c,Qld,Catholic,Persons,Year 7 - Year 9,100.0,97.8,98.1,Queensland,3
2024,c,Qld,Catholic,Persons,Year 7/8 - Year 10,100.0,96.4,97.1,Queensland,3
2024,c,Qld,Catholic,Persons,Year 7/8 - Year 11,100.0,91.7,92.2,Queensland,3
2024,c,Qld,Catholic,Persons,Year 7/8 - Year 12,91.1,85.8,86.1,Queensland,3
2024,c,Qld,Catholic,Persons,Year 10 - Year 12,87.3,91.0,90.8,Queensland,3
2024,c,Qld,Independent,Male,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Male,Year 7/8 - Year 10,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Male,Year 7/8 - Year 11,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Male,Year 7/8 - Year 12,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Male,Year 10 - Year 12,91.2,93.5,93.4,Queensland,3
2024,c,Qld,Independent,Female,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Female,Year 7/8 - Year 10,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Female,Year 7/8 - Year 11,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Female,Year 7/8 - Year 12,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Female,Year 10 - Year 12,94.3,95.5,95.4,Queensland,3
2024,c,Qld,Independent,Persons,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Persons,Year 7/8 - Year 11,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Persons,Year 7/8 - Year 12,100.0,100.0,100.0,Queensland,3
2024,c,Qld,Independent,Persons,Year 10 - Year 12,92.8,94.5,94.4,Queensland,3
2024,c,Qld,All affiliations,Male,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,All affiliations,Male,Year 7/8 - Year 10,91.9,100.0,99.2,Queensland,3
2024,c,Qld,All affiliations,Male,Year 7/8 - Year 11,74.5,90.3,88.9,Queensland,3
2024,c,Qld,All affiliations,Male,Year 7/8 - Year 12,61.2,79.3,77.8,Queensland,3
2024,c,Qld,All affiliations,Male,Year 10 - Year 12,62.7,80.1,78.7,Queensland,3
2024,c,Qld,All affiliations,Female,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,All affiliations,Female,Year 7/8 - Year 10,97.8,100.0,100.0,Queensland,3
2024,c,Qld,All affiliations,Female,Year 7/8 - Year 11,82.4,94.3,93.3,Queensland,3
2024,c,Qld,All affiliations,Female,Year 7/8 - Year 12,66.1,85.7,83.9,Queensland,3
2024,c,Qld,All affiliations,Female,Year 10 - Year 12,68.6,85.4,83.9,Queensland,3
2024,c,Qld,All affiliations,Persons,Year 7 - Year 9,100.0,100.0,100.0,Queensland,3
2024,c,Qld,All affiliations,Persons,Year 7/8 - Year 10,94.8,100.0,99.9,Queensland,3
2024,c,Qld,All affiliations,Persons,Year 7/8 - Year 11,78.3,92.3,91.1,Queensland,3
2024,c,Qld,All affiliations,Persons,Year 7/8 - Year 12,63.6,82.4,80.8,Queensland,3
2024,c,Qld,All affiliations,Persons,Year 10 - Year 12,65.6,82.7,81.2,Queensland,3
2024,d,SA,Government,Male,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Male,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Male,Year 7/8 - Year 11,88.7,100.0,100.0,South Australia,4
2024,d,SA,Government,Male,Year 7/8 - Year 12,56.8,77.4,75.8,South Australia,4
2024,d,SA,Government,Male,Year 10 - Year 12,56.6,76.2,74.7,South Australia,4
2024,d,SA,Government,Female,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Female,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Female,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Female,Year 7/8 - Year 12,60.7,86.3,84.5,South Australia,4
2024,d,SA,Government,Female,Year 10 - Year 12,63.8,83.7,82.4,South Australia,4
2024,d,SA,Government,Persons,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Government,Persons,Year 7/8 - Year 11,96.3,100.0,100.0,South Australia,4
2024,d,SA,Government,Persons,Year 7/8 - Year 12,58.6,81.7,80.0,South Australia,4
2024,d,SA,Government,Persons,Year 10 - Year 12,59.9,79.9,78.4,South Australia,4
2024,d,SA,Non-Government,Male,Year 7 - Year 9,93.4,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Male,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Male,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Male,Year 7/8 - Year 12,90.5,95.4,95.3,South Australia,4
2024,d,SA,Non-Government,Male,Year 10 - Year 12,85.9,92.4,92.3,South Australia,4
2024,d,SA,Non-Government,Female,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Female,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Female,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Female,Year 7/8 - Year 12,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Female,Year 10 - Year 12,100.0,99.0,99.1,South Australia,4
2024,d,SA,Non-Government,Persons,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Persons,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Non-Government,Persons,Year 7/8 - Year 12,100.0,98.5,98.9,South Australia,4
2024,d,SA,Non-Government,Persons,Year 10 - Year 12,96.9,95.8,95.8,South Australia,4
2024,d,SA,Catholic,Male,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Catholic,Male,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Catholic,Male,Year 7/8 - Year 11,100.0,98.4,99.5,South Australia,4
2024,d,SA,Catholic,Male,Year 7/8 - Year 12,68.4,90.5,90.1,South Australia,4
2024,d,SA,Catholic,Male,Year 10 - Year 12,66.7,87.4,86.9,South Australia,4
2024,d,SA,Catholic,Female,Year 7 - Year 9,100.0,99.1,99.6,South Australia,4
2024,d,SA,Catholic,Female,Year 7/8 - Year 10,86.5,100.0,100.0,South Australia,4
2024,d,SA,Catholic,Female,Year 7/8 - Year 11,100.0,96.0,96.4,South Australia,4
2024,d,SA,Catholic,Female,Year 7/8 - Year 12,100.0,95.1,96.1,South Australia,4
2024,d,SA,Catholic,Female,Year 10 - Year 12,100.0,96.1,96.2,South Australia,4
2024,d,SA,Catholic,Persons,Year 7 - Year 9,100.0,99.5,99.9,South Australia,4
2024,d,SA,Catholic,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Catholic,Persons,Year 7/8 - Year 11,100.0,97.2,97.9,South Australia,4
2024,d,SA,Catholic,Persons,Year 7/8 - Year 12,100.0,92.9,93.2,South Australia,4
2024,d,SA,Catholic,Persons,Year 10 - Year 12,85.4,91.9,91.7,South Australia,4
2024,d,SA,Independent,Male,Year 7 - Year 9,78.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Male,Year 7/8 - Year 10,91.8,100.0,100.0,South Australia,4
2024,d,SA,Independent,Male,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Male,Year 7/8 - Year 12,100.0,99.4,99.7,South Australia,4
2024,d,SA,Independent,Male,Year 10 - Year 12,100.0,96.7,96.8,South Australia,4
2024,d,SA,Independent,Female,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Female,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Female,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Female,Year 7/8 - Year 12,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Female,Year 10 - Year 12,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Persons,Year 7 - Year 9,97.8,100.0,100.0,South Australia,4
2024,d,SA,Independent,Persons,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Persons,Year 7/8 - Year 11,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Persons,Year 7/8 - Year 12,100.0,100.0,100.0,South Australia,4
2024,d,SA,Independent,Persons,Year 10 - Year 12,100.0,99.1,99.3,South Australia,4
2024,d,SA,All affiliations,Male,Year 7 - Year 9,100.0,100.0,100.0,South Australia,4
2024,d,SA,All affiliations,Male,Year 7/8 - Year 10,100.0,100.0,100.0,South Australia,4
